CaseID,case_outcome,has_trajectory,has_state_probe,pfr_hit_target,native_pfr_failed,no_suitable_anchor,used_probe,sample_kinds,final_design_kinds,fallback_statuses,native_failure_reasons,target_T_K,target_conversion,target_tau_s,target_log10_tau_s
53,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1410.1980012701824,0.6051026531448589,1.874189078359782e-05,-4.727186597255058
54,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1417.220728173852,0.3843905470753089,0.0001206847790636,-3.9183475002881103
56,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1546.3188177207485,0.83765782894101,0.0015435430261384,-2.811481260089209
58,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1511.8767146300524,0.6280984927993268,0.035579756165561,-1.4487970325397335
59,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1475.210362803191,0.1728300887579098,7.703777061274948e-05,-4.113296293700114
60,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1586.019105641171,0.1827775637200102,1.6876829743711503e-05,-4.77270913082175
62,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1422.670682729222,0.795673631830141,0.0189112974669956,-1.7232786740409214
63,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1437.4544834671542,0.4566497399890795,0.0008288530178845,-3.0815224769059713
64,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1587.1147216390818,0.8371940798219294,9.301772311323802e-05,-4.031434295349754
65,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1422.2856043092906,0.5594170893589036,0.0067386435264911,-2.1714275171514648
66,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0420,1554.0787812927738,0.5800950143998489,0.5956620499618578,-0.2250000682193786
