source_group,source_file,T_K,conversion_proxy,tau_s,log10_tau_s,P_Pa,steam_to_ethane,sample_kind,iso_final_design_kind
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1077.534667570144,3.9133603602081735e-07,2.554884354659029e-06,-5.592628753169232,327893.10086518526,0.4672791874036193,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1484.762869998813,0.1489499599679277,3.219964725399461e-06,-5.492148885958914,262744.74151432514,0.4165473617613315,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1038.8632628740745,4.098305885658071e-06,1.489200945058656e-05,-4.827046696846857,185251.0571479797,0.2371577629819512,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1475.9700084850192,0.10976630931316045,1.9656265674270166e-06,-5.706498986560039,328329.6661451459,0.7937308708205819,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1212.1182629745454,0.00039715276912599684,3.4370363067540936e-06,-5.463815880216665,336475.72975605726,0.1262478902935981,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1493.1404652493077,0.4942835373602784,0.0016745611334755429,-2.776098992975443,254144.36496794224,0.9009963124990464,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1115.49482436385,0.03856146954892459,0.0014579601509800654,-2.8362543460084226,171750.03495067358,0.479870512150228,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,996.7075683781876,2.413121054090084e-07,1.9825976965493494e-05,-4.702765402735768,222708.13211798668,0.2006173664703965,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1477.304030242376,0.0012499205100175992,1.500546144946073e-07,-6.823750644566153,349047.47642576694,0.8103748466819525,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,968.8126526260749,2.5593537844592618e-08,1.2656038640721554e-05,-4.897702207880333,349842.7303507924,0.3020799104124307,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1235.6342128384858,0.5947185375800734,0.022855521465862,-1.6410088655073212,332362.3126372695,0.0774661591276526,state_probe,anchored_state_probe_after_pfr_miss
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1595.07308233995,0.0004892857952558671,1.728704588419258e-08,-7.7622792152748055,266808.5815384984,0.8045620145276189,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1012.8602919494732,1.7660437046096433e-07,1.0935911456133844e-05,-4.961145014741272,173789.66826945543,0.2185812033712864,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1435.3568510524929,0.0,0.0,-300.0,227032.2181284428,0.0620092153549194,trajectory,isothermal_pfr_missed_target
