PC1,PC2,dataset
1.0514338184005865,-4.188180616258053,full
-0.48839878375086687,-0.35940786262513436,full
-1.873124648634054,-1.3220655821630056,full
-0.2534792731736867,-2.5601620463134664,full
-1.1243141803083732,0.6298297845725146,full
2.2853570362001787,-0.16330741464841922,full
-0.5295526841876392,-1.2292169564072235,full
-1.9548476859542947,-0.47147868637090334,full
4.945759856176421,-2.3596730072927428,full
-0.8060402590257991,0.05366293248933577,full
1.7631284195528374,-0.9796642822236149,full
0.22371612624138257,-0.034277642532573434,full
-0.5972561850005055,-0.4656903560500539,full
-0.9288744499842025,0.34967336291800877,full
-0.8395421678950377,1.254157479622862,full
-0.10445162548597879,5.6069444329917095,full
-0.882198715792623,-1.7339619463424252,full
-1.006625696131866,-0.12354197688783829,full
-0.7340388569047099,0.8527008237149188,full
-1.298364860051366,0.02555475808815359,full
-0.5441217697341393,-0.1693519872711154,full
1.929502947126291,0.6548896986260809,full
-1.0077611537297049,-0.29400871507644194,full
-1.2290796011261182,-0.19174668120854885,full
-1.2034865930705008,-0.08189293290950463,full
3.534957432840954,0.22791377711930658,full
-0.16209543920071498,0.5910978600818548,full
0.2585698519593853,2.139869545959711,full
-0.5203015499536526,-0.009830960483290359,full
1.731971997390845,-0.060215265458372,full
-1.3083858358585614,-0.388669673982988,full
-1.498959124400985,-0.5950324061958472,full
1.2829669713509764,0.4792519545900769,full
0.2355879227189083,-0.7853009077354907,full
-0.4777090630831729,1.217926110680592,full
2.3698119681256875,1.209581058528154,full
0.10623998246181493,0.8771714995618067,full
2.7655914748171955,-0.024649410158939775,full
-0.8975059284391675,-0.6293153417587362,full
-1.441147969565562,-0.6642225088743522,full
-0.34608272005040913,2.439076090736525,full
-0.0567909024246618,0.6708329986065268,full
-1.4360197697586412,-0.07387626280287084,full
-0.275627016403475,0.00981395572879288,full
1.9748907119776313,40.064122862389205,full
-1.5712463137254906,-1.5284563006863439,full
6.207893807335188,2.148932829949047,full
-2.204521834824977,-0.9853441089252228,full
-2.0842429229751716,-1.2395319443211101,full
-1.6714562595284033,-0.06100234684047555,full
-0.5795706850902563,1.137827450787891,full
-1.56474681455671,-0.7345039876024754,full
-1.627485030823726,-0.5996798723030581,full
-0.36989245889533806,1.5466559773753505,full
-1.0467670874296922,0.5298796263557077,full
1.4554391088892542,-0.2853874029386872,full
-1.242478838995767,0.6603299575360008,full
-1.1251391403814643,-0.6104102389702024,full
-1.7074426596589793,-0.7418344651708306,full
-1.1848109737178707,0.7952600013530629,full
-1.5119533932505567,-0.5954011153355249,full
-2.276211422072881,-1.898202860220258,full
-0.9075337408069829,-1.1013813156317065,full
-0.791490108754919,0.17050156881612097,full
1.9430574801434581,1.4114759151701546,full
1.5109571340761005,-0.0811855924742458,full
-0.5932695797778555,-1.2012851402633116,full
-1.0253522042408443,-0.22289321111735438,full
-1.5949845783549303,-1.004256711926081,full
-1.4090759940760866,-0.4416628007004182,full
-0.823896073292541,0.2723996112709891,full
-0.7960112962857738,0.4391998152356707,full
-0.6796954778255219,-1.2514573795413064,full
0.6224477002115746,1.4256797733405147,full
-0.6321233891568053,0.4770683290019828,full
0.20473015078563064,-1.2770733461770583,full
1.386317803985825,-1.1738790695936645,full
-0.935604925170077,-0.9448892980330249,full
-1.2956910146853087,-0.14087200425803265,full
-0.6289684929689752,1.0049378859641156,full
-1.4894477066289518,0.1852071866770693,full
-0.8841394185439685,-1.2368911761654187,full
0.37713375075588773,1.4791756619557352,full
-1.0894353286686713,-0.5284468573277011,full
-0.9808630489645791,0.12686825837786012,full
-1.3809418781842522,-1.0485328618719973,full
-1.602430358299679,-0.4882779553603316,full
-1.2221552875579285,-1.1690486561447764,full
-1.6306535736315522,-1.548358143442858,full
-0.8506538285911811,0.40567537034892365,full
2.3524836206031345,-1.4804556053896254,full
-1.312219282942384,0.5380415780981924,full
-0.6781933685336821,1.1073984022493801,full
-1.6962771068648594,-0.35260797253553666,full
1.5601361024135687,-2.052997607908832,full
-0.7764550371755956,-1.0431277986136527,full
2.4382044562092813,3.114185593734992,full
0.11512743270011475,-0.8971347232679321,full
-1.1234279559762148,1.1651641689870806,full
0.024770674525628575,0.8006565074668847,full
-0.8546014737256752,0.8066448982015393,full
-0.922385253050831,-0.052896675250872355,full
-1.0478003605217827,-0.7323272363340411,full
-1.3186440276901539,-0.49641718147296876,full
-0.06155937131540559,-0.42025709865874267,full
-0.43765843261064075,0.036861311476905904,full
1.152906446003845,0.6945685021766415,full
-1.1281591885447864,-0.536451482050306,full
-1.2679809430741966,-0.7552301598359926,full
6.315064009343658,-1.446848791567141,full
1.0720566781837906,-1.7796988066424153,full
-1.6216573881044771,-0.6318123270181238,full
-0.7475332384867835,-0.09601933118457182,full
-0.9417060032459945,1.315722278670169,full
0.9903275720274303,-0.3384637079965891,full
-0.9376030457958672,0.38234497419672103,full
-1.0627959556125004,-0.6771284060731637,full
2.262933642837195,-0.98867481994425,full
-1.0159510760712562,0.13310285541592415,full
-0.03127977542846373,-0.6170194517483408,full
1.5184419637903277,-0.3840389706420083,full
0.7043499607227839,-0.5748340473698893,full
-1.638694223151646,0.16531652213586848,full
-0.529197177321414,1.594268916776993,full
-1.164902408295007,-1.581619324323333,full
0.3666972324453944,-0.2355073088792219,full
-0.17003914979227278,0.7789494077952758,full
-0.6670995264430213,0.9794931297094754,full
-0.028207280403878224,-0.6216839837668819,full
-0.8106989933729476,-0.19835257624537153,full
-1.8282993508491934,-0.8963677881054365,full
-1.0458684631918773,-0.436154340309826,full
1.2315840296919818,-0.9009058113125263,full
-2.0129229227974,-1.329943325620939,full
-0.3061335272835896,0.44349737898421143,full
-0.6772385632344561,0.5231591458374777,full
-1.0330770784963705,0.002411904742421744,full
-1.2079377525267272,-0.05361071456944746,full
-1.076200711443706,1.2180134676695675,full
-1.1330404666800942,0.19009710600115054,full
-0.6758612116621919,0.0549369483800851,full
4.063669373493675,-0.4319454369353084,full
-0.4869221151649813,1.139724932137613,full
-1.1652563190015033,0.6879644602425801,full
-0.2349840080499682,-0.12952015594566205,full
-1.861424067100779,-0.9934890708697774,full
-0.5619473090490195,1.2361859878995967,full
-1.5395220670174081,-0.05061965589714333,full
0.354910703655839,-0.30762775204990084,full
5.2949411201425765,-1.391924236164703,full
-0.9822757287816264,0.8378071128591267,full
-0.6852163726491646,0.6607736897201788,full
-0.6797572545407454,-1.0618405041173926,full
7.163454088524139,1.8844981127448655,full
-1.1304689625360778,-0.879110006450811,full
-2.173405094411988,-1.0945516229176222,full
-0.735028817539163,-0.5151375617287571,full
-1.2306266365600371,-1.1175306028298326,full
-0.9306653376914813,-0.18400239114878666,full
-1.1187299273893971,0.48193474352175025,full
3.431545973511826,-0.22303405459123443,full
-1.2216579018427651,-0.5047399938933373,full
-0.4363991832484448,-0.1619887907094705,full
-0.8998089190153162,0.8112771700724933,full
-1.367755155266661,0.007693874641958452,full
-0.24261405846051973,-0.029725597184949177,full
-1.2171620764023778,0.19276132928500367,full
-0.5873345637123237,0.06514869850827992,full
-0.1743011017647159,-0.06560050640698056,full
-1.466398101699268,-0.11003202818879874,full
-1.1853322617101858,-0.4206135347115525,full
-1.115556170974943,-0.48781415276496076,full
-1.4316636430633314,-0.07367465713079194,full
-1.0398106037554231,-0.7287527514106776,full
-1.5774519705585506,-0.7800914801306656,full
-1.4485922999215524,0.3114935157342776,full
-1.0020512702743618,-1.4588971755689857,full
0.27474616212200503,0.985879470535585,full
-1.841686145113879,-1.1126979105562267,full
-1.3371063236738507,0.3770450953665908,full
-0.3603722435214606,-0.7537108469075228,full
-1.8190697708244896,-0.5981029642793407,full
-1.5573234778161178,-0.5166376681154634,full
3.8645231356633607,-1.0618875507297345,full
-0.8286686679435494,-0.09824193790475552,full
-0.1762385322858254,1.1839963943050549,full
1.4792230038666303,0.35460598571863383,full
-0.2660296218209652,0.2819757274599246,full
-1.0731858247473893,0.4281087300228438,full
-1.341187074748898,0.13930579792256506,full
-2.2402131715643563,-1.2517742232418765,full
-1.0649392145732985,-0.47257381905263973,full
-0.46674734708922616,1.2733928912571484,full
-0.5171727285819439,-0.38612090181948144,full
-0.8514801783651775,-0.7439010054722682,full
-0.5973798555966683,0.33029710433908105,full
0.643915965683831,-0.3076458858541423,full
-0.47506341610754504,-0.7549455487614876,full
-0.7326421994240919,0.7484538646388905,full
2.594332019326461,0.1736124973285942,full
2.7804829800085806,-1.1221442550798844,full
-1.9300019382714457,-1.4830127782356037,full
-2.063747909354293,-1.1766933667729256,full
-1.9568153064146845,-0.8791753209679948,full
-0.758633217588321,1.2007585007855515,full
-1.0227166066361266,0.8577717040076879,full
-0.9680443153784078,-0.3855679186405283,full
5.546451328845127,-0.4533166808340712,full
-0.36318832092659126,0.3959562568218855,full
2.251592747525627,3.4142002797463626,full
-1.428067888496895,-0.5673650070799994,full
0.525308095488828,-0.7408964864739842,full
-1.3738287539607748,-1.1364260810867222,full
